room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18032234,1309,124029142,Entire home/apt,,Boston,,Roxbury,4,4.5,10,6.0,,240.0,,"Huge 6-bdrm, 5 min walk to T, City Views",2017-06-10 12:57:01.368514,42.317233,-71.072981,0101000020E6100000AE0E80B8ABC451C0221B48179B284540
2701124,1309,13822322,Entire home/apt,,Boston,,Back Bay,45,4.5,4,1.0,,280.0,,Charlesview Suites Back Bay ,2017-06-10 12:57:01.362727,42.345069,-71.086007,0101000020E6100000880E812381C551C085EE92382B2C4540
17559493,1309,118122992,Entire home/apt,,Boston,,Chinatown,7,5.0,4,2.0,,295.0,,"NEW 2nd Floor, 2BR Downtown Boston",2017-06-10 12:57:00.060015,42.350245,-71.060046,0101000020E61000005C902DCBD7C351C0344B02D4D42C4540
15140520,1309,1639654,Entire home/apt,,Boston,,Back Bay,50,4.5,2,0.0,,225.0,,Classic Boston Back Bay Designer Studio,2017-06-10 12:57:00.056801,42.351538,-71.088382,0101000020E610000086E3F90CA8C551C08FA67A32FF2C4540
11462476,1309,1369968,Entire home/apt,,Boston,,Back Bay,79,4.5,2,1.0,,225.0,,"Back Bay Near Fenway, Hynes, the T",2017-06-10 12:57:00.050937,42.351433,-71.088087,0101000020E6100000FA0CA837A3C551C01ADEACC1FB2C4540
18491439,1309,106271817,Entire home/apt,,Boston,,Dorchester,5,5.0,8,2.0,,230.0,,"Relax n ""think"" about next business",2017-06-10 12:57:00.039515,42.299098,-71.051369,0101000020E6100000CEC133A149C351C04626E0D748264540
17543473,1309,119007535,Entire home/apt,,Boston,,Mission Hill,21,5.0,7,3.0,,225.0,,3Bdrm near Orange Line,2017-06-10 12:57:00.035699,42.329971,-71.097085,0101000020E6100000A9FB00A436C651C070D05E7D3C2A4540
16569320,1309,109154927,Entire home/apt,,Boston,,South Boston,23,5.0,6,2.0,,265.0,,High-End Luxury Rental In South Boston,2017-06-10 12:57:00.031700,42.333378,-71.043916,0101000020E61000005AF10D85CFC251C05B9A5B21AC2A4540
17285926,1309,39323824,Entire home/apt,,Boston,,South End,11,5.0,2,1.0,,250.0,,Luxury & Location,2017-06-10 12:57:00.018160,42.346647,-71.073993,0101000020E610000082C8224DBCC451C0D520CCED5E2C4540
11202183,1309,58330337,Entire home/apt,,Boston,,Beacon Hill,59,5.0,3,0.0,,225.0,,Second Oldest Home in Beacon Hill,2017-06-10 12:57:00.002787,42.357721,-71.066285,0101000020E6100000C8CD70033EC451C0D40B3ECDC92D4540
